Date,Open,High,Low,Close,AdjClose,Volume
10/19/2022,2880,2930,2790,2890,2889.959717,78200
10/20/2022,2890,2890,2800,2850,2849.960205,77300
10/21/2022,2850,2890,2850,2860,2859.960205,74000
10/24/2022,2860,2870,2830,2860,2859.960205,141900
10/25/2022,2860,2870,2840,2860,2859.960205,85900
10/26/2022,2860,2880,2810,2870,2869.959961,92500
10/27/2022,2870,2870,2840,2870,2869.959961,131900
10/28/2022,2890,2990,2870,2910,2909.959473,172000
10/31/2022,2950,2980,2910,2960,2959.95874,198800
11/1/2022,2960,2970,2870,2870,2869.959961,91900
11/2/2022,2870,2960,2870,2960,2959.95874,209100
11/3/2022,2960,2960,2900,2920,2919.959229,41800
11/4/2022,2920,2930,2890,2930,2929.959229,45800
11/7/2022,2930,2930,2890,2910,2909.959473,204000
11/8/2022,2920,3000,2900,2950,2949.95874,238100
11/9/2022,2950,3000,2920,2940,2939.958984,138300
11/10/2022,2930,2930,2900,2930,2929.959229,91900
11/11/2022,2910,2940,2890,2920,2919.959229,165800
11/14/2022,2950,3300,2910,3260,3259.95459,2219400
11/15/2022,3260,3300,3170,3180,3179.955566,786300
11/16/2022,3180,3200,3100,3140,3139.956299,392300
11/17/2022,3120,3190,3030,3160,3159.955811,175800
11/18/2022,3160,3240,3100,3210,3209.955322,376400
11/21/2022,3210,3220,3150,3210,3209.955322,105900
11/22/2022,3210,3210,3170,3200,3199.955322,509600
11/23/2022,3200,3200,3190,3200,3199.955322,214500
11/24/2022,3260,3280,3220,3250,3249.95459,650500
11/25/2022,3270,3280,3250,3260,3259.95459,453900
11/28/2022,3260,3370,3260,3300,3299.953857,483500
11/29/2022,3300,3370,3290,3370,3369.952881,1133200
11/30/2022,3380,3590,3380,3590,3589.949951,1395800
12/1/2022,3600,4030,3600,3830,3829.946533,1420200
12/2/2022,3860,3950,3750,3800,3799.947021,506700
12/5/2022,3800,3820,3700,3700,3699.948486,800000
12/6/2022,3700,3890,3700,3890,3889.945801,323600
12/7/2022,3900,4280,3900,4120,4119.942383,1330300
12/8/2022,4150,4340,4000,4080,4079.943115,899100
12/9/2022,4080,4180,4000,4070,4069.943115,185400
12/12/2022,4070,4070,4000,4010,4009.944092,353200
12/13/2022,4010,4150,4000,4030,4029.943848,279400
12/14/2022,4050,4100,3980,3980,3979.94458,689200
12/15/2022,4000,4010,3980,3990,3989.944336,313100
12/16/2022,4010,4080,4000,4020,4019.943848,117400
12/19/2022,4020,4020,3990,3990,3989.944336,243200
12/20/2022,4000,4050,4000,4050,4049.943604,266000
12/21/2022,4050,4050,4000,4000,3999.944092,92100
12/22/2022,4000,4030,4000,4030,4029.943848,85700
12/23/2022,4050,4640,4050,4520,4519.937012,1375800
12/26/2022,4550,4600,4320,4380,4379.938965,325600
12/27/2022,4400,4580,4370,4470,4469.9375,518300
12/28/2022,4470,4520,4370,4480,4479.9375,332900
12/29/2022,4480,4500,4330,4330,4329.939453,1237200
12/30/2022,4350,4450,4330,4330,4329.939453,946600
1/2/2023,4330,4450,4260,4280,4279.94043,553400
1/3/2023,4230,4380,4230,4330,4329.939453,1044000
1/4/2023,4390,4410,4290,4340,4339.939453,1021400
1/5/2023,4370,4370,4160,4160,4159.941895,824400
1/6/2023,4150,4240,4110,4190,4189.941406,1228800
1/9/2023,4200,4260,4150,4230,4229.940918,1099200
1/10/2023,4230,4280,4180,4230,4229.940918,745800
1/11/2023,4230,4250,4210,4240,4239.940918,1130200
1/12/2023,4240,4300,4200,4240,4239.940918,1323300
1/13/2023,4240,4240,4190,4190,4189.941406,1307300
1/16/2023,4190,4190,4110,4140,4139.942383,1195600
1/17/2023,4140,4150,4120,4140,4139.942383,1284000
1/18/2023,4200,4460,4200,4350,4349.939453,1113600
1/19/2023,4400,4400,4270,4270,4269.94043,928700
1/20/2023,4270,4370,4270,4280,4279.94043,1197800
1/24/2023,4400,4590,4400,4590,4589.936035,1277700
1/25/2023,4660,4930,4660,4930,4929.931152,1365900
1/26/2023,5000,5250,5000,5075,5074.929199,1350900
1/27/2023,5075,5200,5000,5100,5099.928711,1073400
1/30/2023,5100,5250,5075,5125,5124.928711,978500
1/31/2023,5200,5200,5025,5100,5099.928711,1003900
2/1/2023,5250,5350,4950,4970,4969.930664,1320500
2/2/2023,4950,5000,4700,4700,4699.93457,1782100
2/3/2023,4670,4940,4590,4860,4859.932129,1092800
2/6/2023,4860,5100,4860,5100,5099.928711,1320200
2/7/2023,5150,5600,5125,5600,5599.921875,2191700
2/8/2023,5625,5775,5325,5425,5424.924316,1135300
2/9/2023,5425,5600,5250,5525,5524.922852,1368000
2/10/2023,5525,5650,5400,5500,5499.92334,1102600
2/13/2023,5525,5550,5350,5425,5424.924316,981800
2/14/2023,5425,5500,5100,5275,5274.92627,1263600
2/15/2023,5275,5350,5050,5175,5174.927734,1071000
2/16/2023,5175,5400,5125,5225,5224.927246,1139400
2/17/2023,5225,5400,5200,5300,5299.92627,1118700
2/20/2023,5300,5325,5125,5200,5199.927246,1018200
2/21/2023,5175,5275,5050,5050,5049.929688,1113300
2/22/2023,5100,5100,4910,4920,4919.931152,1190800
2/23/2023,4910,4940,4700,4720,4719.934082,1145200
2/24/2023,4720,4980,4700,4960,4959.930664,1328600
2/27/2023,4960,5050,4960,4980,4979.930664,1021500
2/28/2023,4980,5000,4810,4870,4869.932129,1104300
3/1/2023,4870,4990,4800,4820,4819.932617,1107800
3/2/2023,4800,4880,4750,4800,4799.933105,1076400
3/3/2023,4800,4890,4790,4860,4859.932129,1104400
3/6/2023,4860,4890,4800,4870,4869.932129,1120900
3/7/2023,4870,4930,4800,4930,4929.931152,1155800
3/8/2023,4920,4980,4760,4770,4769.933594,1175200
3/9/2023,4800,4830,4790,4800,4799.933105,1070800
3/10/2023,4820,4850,4710,4720,4719.934082,1175200
3/13/2023,4730,4730,4390,4500,4499.937012,1769400
3/14/2023,4500,4500,4250,4310,4309.939941,1293900
3/15/2023,4300,4460,4210,4400,4399.938477,1330700
3/16/2023,4400,4420,4150,4420,4419.938477,1211100
3/17/2023,4420,4440,4330,4440,4439.937988,1305500
3/20/2023,4440,4440,4340,4440,4439.937988,1425800
3/21/2023,4400,4470,4360,4450,4449.937988,1229900
3/24/2023,4450,4890,4400,4850,4849.932129,1073500
3/27/2023,4850,5075,4840,5025,5024.929688,1088700
3/28/2023,5025,5075,4900,4990,4989.930176,1084800
3/29/2023,5000,5025,4860,4970,4969.930664,1196500
3/30/2023,4970,4970,4910,4970,4969.930664,1026800
3/31/2023,4910,5025,4900,4970,4969.930664,1179400
4/3/2023,4960,5000,4660,4660,4659.935059,1254800
4/4/2023,4680,4740,4630,4690,4689.93457,1210800
4/5/2023,4690,4700,4500,4590,4589.936035,982700
4/6/2023,4590,4600,4500,4510,4509.937012,1153800
4/10/2023,4510,4560,4400,4430,4429.937988,1160500
4/11/2023,4430,4630,4360,4630,4629.935547,1169400
4/12/2023,4640,4750,4500,4700,4699.93457,1187000
4/13/2023,4700,4710,4630,4710,4709.934082,1162200
4/14/2023,4700,4780,4670,4770,4769.933594,1328000
4/17/2023,4760,4810,4620,4770,4769.933594,1076700
4/18/2023,4770,4770,4620,4650,4649.935059,1154100
4/26/2023,4750,4750,4500,4550,4549.936523,1265000
4/27/2023,4590,4880,4590,4850,4849.932129,1120400
4/28/2023,4850,4870,4770,4840,4839.932617,1215600
5/2/2023,4860,4860,4690,4730,4729.934082,1129300
5/3/2023,4740,4740,4640,4740,4739.934082,1203800
5/4/2023,4760,4800,4660,4690,4689.93457,1057900
5/5/2023,4700,4700,4580,4580,4579.936035,1051300
5/8/2023,4580,4730,4500,4660,4659.935059,1199100
5/9/2023,4660,4670,4560,4580,4579.936035,1112500
5/10/2023,4600,4750,4600,4730,4729.934082,1100300
5/11/2023,4750,5000,4750,4970,4969.930664,1271500
5/12/2023,4970,5275,4970,5275,5274.92627,1530400
5/15/2023,5300,6000,5275,5850,5849.918457,5936800
5/16/2023,5900,5950,5450,5450,5449.923828,2637100
5/17/2023,5450,5450,5075,5250,5249.926758,3613500
5/19/2023,5250,5375,5100,5300,5299.92627,2614000
5/22/2023,5325,5475,5325,5425,5424.924316,4219700
5/23/2023,5425,5525,5425,5425,5424.924316,3305100
5/24/2023,5425,5500,5325,5500,5499.92334,6183500
5/25/2023,5125,5125,5125,5125,5125,249100
5/26/2023,4770,4770,4770,4770,4770,114500
5/29/2023,4440,4440,4440,4440,4440,180400
5/30/2023,4270,4270,4140,4150,4150,3742100
5/31/2023,4140,4290,4100,4230,4230,2127500
6/5/2023,4230,4230,4120,4130,4130,1603500
6/6/2023,4130,4230,4130,4190,4190,1702900
6/7/2023,4190,4190,4110,4140,4140,1740000
6/8/2023,4140,4140,4000,4000,4000,3936600
6/9/2023,4000,4050,3910,4030,4030,2627600
6/12/2023,3990,4040,3950,4000,4000,2065300
6/13/2023,4000,4020,3800,3800,3800,3206000
6/14/2023,0,0,0,3880,3880,0
